Initial_Aerobic_Biomass,Vmax_Multiplier,Mortality_Multiplier,Min_O2,Max_Anoxic_Frac,Peak_Specific_Growth_day,Avg_Specific_Growth_day,Peak_Total_Biomass,Lowest_Monod_Factor,Lowest_O2_Monod_Factor,Lowest_DOC_Monod_Factor,Max_O2_Limitation_Frac
0.1,1.0,1.0,11.0,0.0,1.9642733335494995,1.9484621286392212,9.131634712219238,0.00840269960463047,0.9821428656578064,0.07085423916578293,37.5
0.1,56.44444274902344,1.0,10.440352439880371,0.0,110.8085708618164,110.38581085205078,15.210972785949707,0.008402686566114426,0.9812036752700806,0.07085316628217697,62.5
0.1,111.88888549804688,1.0,9.789246559143066,0.0,219.59010314941406,219.22581481933594,27.33237075805664,0.008402672596275806,0.9799785017967224,0.07085208594799042,87.5
0.1,167.3333282470703,1.0,8.115915298461914,0.0,328.3379211425781,327.6483459472656,45.82892608642578,0.008402657695114613,0.975949764251709,0.07085099071264267,100.0
0.1,222.77777099609375,1.0,3.5586352348327637,0.0,437.04754638671875,435.77972412109375,74.87399291992188,0.008402642793953419,0.9467892050743103,0.07084990292787552,100.0
0.1,278.22222900390625,1.0,0.0037302637938410044,56.25,545.7244262695312,543.7420043945312,132.04727172851562,0.0084026288241148,0.0183098167181015,0.07084878534078598,100.0
0.1,333.6666564941406,1.0,0.0,81.25,654.3764038085938,651.478515625,247.92523193359375,0.0,0.0,0.07084766775369644,100.0
0.1,389.1111145019531,1.0,0.0,100.0,762.9969482421875,759.057373046875,446.4002685546875,0.0,0.0,0.0708465427160263,100.0
0.1,444.5555419921875,1.0,0.0,100.0,871.5869750976562,866.4715576171875,689.4071044921875,0.0,0.0,0.07084540277719498,100.0
0.1,500.0,1.0,0.0,100.0,980.1470336914062,973.737548828125,872.1040649414062,0.0,0.0,0.07084427028894424,100.0
1.7555555555555558,1.0,1.0,10.998903274536133,0.0,1.964271903038025,1.9555790424346924,10.82082748413086,0.01065890584141016,0.9821411371231079,0.08838462829589844,56.25
1.7555555555555558,56.44444274902344,1.0,9.57894229888916,0.0,110.79298400878906,110.59335327148438,20.42426872253418,0.0106588713824749,0.979547917842865,0.08838200569152832,87.5
1.7555555555555558,111.88888549804688,1.0,5.2220458984375,0.0,219.50103759765625,218.77215576171875,43.204345703125,0.010658835992217064,0.9631136059761047,0.0883793979883194,100.0
