Initial_POC_Density,Ext_O2,Ext_NO3,Mort_Amp,Radius_mm,N2O_Net_Domain_SMS_mmol_s,N2O_Net_Core_SMS_mmol_s,N2_Net_Domain_SMS_mmol_s,Frac_Anoxic_Core,Total_Bio_Core_mmol,Bio_Growth_Factor,Dominant_Bug,Bio_Core_aer_mmol,Bio_Core_nar_mmol,Bio_Core_nai_mmol,Bio_Core_nao_mmol,Bio_Core_nir_mmol,Bio_Core_nio_mmol,Bio_Core_nos_mmol,Bio_Core_aoa_mmol,Bio_Core_nob_mmol,Bio_Core_aox_mmol,Bio_Core_zoo_mmol,GrowthRate_aer_perday,GrowthRate_nar_perday,GrowthRate_nai_perday,GrowthRate_nao_perday,GrowthRate_nir_perday,GrowthRate_nio_perday,GrowthRate_nos_perday,GrowthRate_aoa_perday,GrowthRate_nob_perday,GrowthRate_aox_perday,GrowthRate_zoo_perday,Elapsed_s
850000.0,1.0,10.0,1.0,0.5,3.79270052863756e-12,3.79270052863756e-12,8.780737421887341e-12,0.9717514514923096,1.9353445068759356e-08,1.4088331460952759,aer,8.934256889858716e-09,1.1351122264358082e-09,1.5573657918821482e-09,1.5944287001801172e-09,8.463842959827161e-10,8.636645287829481e-10,9.285524016355851e-10,1.4772403300611359e-09,1.1246535924769319e-09,8.917867000413082e-10,0.0,28.65018081665039,45.04255676269531,87.26089477539062,91.67063903808594,8.091524124145508,11.664058685302734,24.220277786254883,50.02584457397461,30.12139129638672,15.076396942138672,0.0,2754.2986294580624
850000.0,1.0,10.0,1.0,0.5384615659713745,4.3108377111023e-12,4.3108377111023e-12,1.0341803802216276e-11,0.9717513918876648,2.2150901557438374e-08,1.390346884727478,aer,1.0146722573267652e-08,1.3158487632836113e-09,1.8054581163440275e-09,1.852886288844502e-09,9.826903735188353e-10,1.003215177597383e-09,1.0839745767654563e-09,1.6484348330791931e-09,1.2754817202420554e-09,1.0361910218747994e-09,0.0,26.30258560180664,45.01327896118164,87.20418548583984,91.92172241210938,8.231047630310059,11.865182876586914,25.339128494262695,45.67915725708008,27.562543869018555,15.245285034179688,0.0,2645.3272442915477
850000.0,1.0,10.0,1.0,0.5769230723381042,4.854219023270323e-12,4.854219023270323e-12,1.2030003729290861e-11,0.9717514514923096,2.5147107507450528e-08,1.37497079372406,aer,1.1438809899289026e-08,1.5105282580307744e-09,2.071788518520634e-09,2.130664755739531e-09,1.1291091395193575e-09,1.1533166643928894e-09,1.2520040559849122e-09,1.8318105921011352e-09,1.4373405798906447e-09,1.1917303810449198e-09,0.0,24.262022018432617,44.9837532043457,87.14698028564453,92.14225006103516,8.387800216674805,12.091145515441895,26.386611938476562,41.98300552368164,25.413372039794922,15.340594291687012,0.0,2571.3901382922195
850000.0,1.0,10.0,1.0,0.6153846383094788,5.4236819028996575e-12,5.4236819028996575e-12,1.3847643517972408e-11,0.9717513918876648,2.8339817603750816e-08,1.3618993759155273,aer,1.280911998691181e-08,1.71817293725951e-09,2.3564190598790447e-09,2.4279098731483373e-09,1.285844652976209e-09,1.3139593857403042e-09,1.4325447494911714e-09,2.0274755208049555e-09,1.610254485306939e-09,1.3581172852994428e-09,0.0,22.500629425048828,44.95451736450195,87.0903549194336,92.33345794677734,8.54978084564209,12.324642181396484,27.35406494140625,38.848724365234375,23.603378295898438,15.401383399963379,0.0,2488.1352597908117
850000.0,1.0,10.0,1.0,0.6538461446762085,6.015767745060074e-12,6.015767745060074e-12,1.580147297730594e-11,0.9717513918876648,3.172621276803511e-08,1.350542664527893,aer,1.4257149238972033e-08,1.939501226289053e-09,2.659224396239779e-09,2.744450666725129e-09,1.4529401015650478e-09,1.4852409302434921e-09,1.6258367985244604e-09,2.2334083471520216e-09,1.793298509689123e-09,1.5351647730810214e-09,0.0,20.94898796081543,44.9249382019043,87.03305053710938,92.5054931640625,8.712503433227539,12.559210777282715,28.269882202148438,36.11759948730469,22.034536361694336,15.453604698181152,0.0,2424.649667208083
850000.0,1.0,10.0,1.0,0.692307710647583,6.628896650345828e-12,6.628896650345828e-12,1.789426593012955e-11,0.9717513918876648,3.5305426138165785e-08,1.3405543565750122,aer,1.5782280371468005e-08,2.1740187428065383e-09,2.9803970402753066e-09,3.0803202211160396e-09,1.6302803551582201e-09,1.6671756197794707e-09,1.8319703531943787e-09,2.449830782680351e-09,1.986411257703935e-09,1.7227433923849844e-09,0.0,19.58287811279297,44.89488220214844,86.97481536865234,92.66138458251953,8.864450454711914,12.778243064880371,29.14093589782715,33.735660552978516,20.67041778564453,15.506855010986328,0.0,2364.374558582902
850000.0,1.0,10.0,1.0,0.7307692170143127,7.264181010185888e-12,7.264181010185888e-12,2.012506133963754e-11,0.9717514514923096,3.907612367015645e-08,1.331656575202942,aer,1.7383564809847485e-08,2.421726374990385e-09,3.319720498495826e-09,3.435652873307049e-09,1.8180542626922147e-09,1.8597613449244932e-09,2.0508348352876737e-09,2.6762105864719388e-09,2.189272985120283e-09,1.9213213242608163e-09,0.0,18.368440628051758,44.86488342285156,86.91670227050781,92.80081176757812,9.011214256286621,12.98980712890625,29.956445693969727,31.648439407348633,19.462024688720703,15.555459976196289,0.0,2305.153027166147
850000.0,1.0,10.0,1.0,0.7692307829856873,7.919557371005581e-12,7.919557371005581e-12,2.2489740972297945e-11,0.97175133228302,4.3042000186233054e-08,1.323793888092041,aer,1.906438917842479e-08,2.682968291978227e-09,3.67708397064348e-09,3.810299187279043e-09,2.0161168290400155e-09,2.06312256167962e-09,2.2826081025328904e-09,2.912178720393399e-09,2.4021704625454277e-09,2.131067100563655e-09,0.0,17.27999496459961,44.83457565307617,86.85798645019531,92.92805480957031,9.162018775939941,13.207192420959473,30.73318862915039,29.807605743408203,18.38501739501953,15.578417778015137,0.0,2263.0601475411095
850000.0,1.0,10.0,1.0,0.807692289352417,8.594797616667815e-12,8.594797616667815e-12,2.499046629356183e-11,0.9717514514923096,4.7198419395044766e-08,1.3166695833206177,aer,2.082033567774033e-08,2.957145195381372e-09,4.052802093923447e-09,4.204478987190896e-09,2.224531225891724e-09,2.277050104027012e-09,2.527404507901565e-09,3.158197481312186e-09,2.6246045337074975e-09,2.351866257299662e-09,0.0,16.304780960083008,44.80385208129883,86.7984619140625,93.04497528076172,9.319316864013672,13.433940887451172,31.479089736938477,28.18803596496582,17.42662811279297,15.581083297729492,0.0,2208.7073942921124
850000.0,1.0,10.0,1.0,0.8461538553237915,9.28991085447084e-12,9.28991085447084e-12,2.762776639408937e-11,0.9717514514923096,5.155029469960937e-08,1.3103091716766357,aer,2.2654699449731197e-08,3.245379076588506e-09,4.44668701859996e-09,4.617874083123752e-09,2.443268032337187e-09,2.5017514726499712e-09,2.7851321249272587e-09,3.414701410520138e-09,2.8571993659909367e-09,2.5836062178541397e-09,0.0,15.443389892578125,44.77299118041992,86.7386703491211,93.15174865722656,9.478533744812012,13.663453102111816,32.18851089477539,26.75834846496582,16.58676528930664,15.574722290039062,0.0,2162.695695417002
