Macro_Cycle,Depletion_Limit,Relative_L2_Error
100.0,0.1,0.0077073826
100.0,0.14210526315789473,0.007585713
100.0,0.1842105263157895,0.007461453
100.0,0.22631578947368422,0.0073296935
100.0,0.26842105263157895,0.0071978956
100.0,0.31052631578947365,0.0070571154
100.0,0.3526315789473684,0.006914487
100.0,0.39473684210526316,0.0067666485
100.0,0.4368421052631579,0.006604056
100.0,0.4789473684210527,0.0064539723
100.0,0.5210526315789473,0.0062841284
100.0,0.5631578947368421,0.006113611
100.0,0.6052631578947368,0.00594746
100.0,0.6473684210526316,0.005763516
100.0,0.6894736842105262,0.0055633644
100.0,0.731578947368421,0.0053693177
100.0,0.7736842105263158,0.0051837363
100.0,0.8157894736842105,0.0049810265
100.0,0.8578947368421053,0.0047594314
100.0,0.9,0.004522662
357.89473684210526,0.1,0.029675819
357.89473684210526,0.14210526315789473,0.027120447
357.89473684210526,0.1842105263157895,0.027831074
357.89473684210526,0.22631578947368422,0.027141312
357.89473684210526,0.26842105263157895,0.024700277
357.89473684210526,0.31052631578947365,0.027843297
357.89473684210526,0.3526315789473684,0.024394143
357.89473684210526,0.39473684210526316,0.024317665
357.89473684210526,0.4368421052631579,0.023485383
357.89473684210526,0.4789473684210527,0.02747418
357.89473684210526,0.5210526315789473,0.024559297
357.89473684210526,0.5631578947368421,0.024672287
357.89473684210526,0.6052631578947368,0.023442058
357.89473684210526,0.6473684210526316,0.023996994
357.89473684210526,0.6894736842105262,0.021178424
357.89473684210526,0.731578947368421,0.027203336
357.89473684210526,0.7736842105263158,0.02685118
357.89473684210526,0.8157894736842105,0.027281376
357.89473684210526,0.8578947368421053,0.027298031
357.89473684210526,0.9,0.026419453
615.7894736842105,0.1,0.057727825
615.7894736842105,0.14210526315789473,0.054688428
615.7894736842105,0.1842105263157895,0.054839626
615.7894736842105,0.22631578947368422,0.050703183
615.7894736842105,0.26842105263157895,0.05000035
615.7894736842105,0.31052631578947365,0.048104953
615.7894736842105,0.3526315789473684,0.037078332
615.7894736842105,0.39473684210526316,0.037120227
615.7894736842105,0.4368421052631579,0.035535377
615.7894736842105,0.4789473684210527,0.050984543
615.7894736842105,0.5210526315789473,0.038439874
615.7894736842105,0.5631578947368421,0.0491936
615.7894736842105,0.6052631578947368,0.036382053
615.7894736842105,0.6473684210526316,0.052509714
615.7894736842105,0.6894736842105262,0.031979688
615.7894736842105,0.731578947368421,0.0558185
615.7894736842105,0.7736842105263158,0.055403262
615.7894736842105,0.8157894736842105,0.054936297
615.7894736842105,0.8578947368421053,0.055245258
615.7894736842105,0.9,0.054471903
873.6842105263158,0.1,0.093346305
873.6842105263158,0.14210526315789473,0.089809865
873.6842105263158,0.1842105263157895,0.089681126
873.6842105263158,0.22631578947368422,0.084821515
873.6842105263158,0.26842105263157895,0.08360629
873.6842105263158,0.31052631578947365,0.08312221
873.6842105263158,0.3526315789473684,0.069807306
873.6842105263158,0.39473684210526316,0.065983415
873.6842105263158,0.4368421052631579,0.05953495
873.6842105263158,0.4789473684210527,0.08095261
873.6842105263158,0.5210526315789473,0.054140486
873.6842105263158,0.5631578947368421,0.08220785
873.6842105263158,0.6052631578947368,0.050958775
873.6842105263158,0.6473684210526316,0.08825671
873.6842105263158,0.6894736842105262,0.04456416
873.6842105263158,0.731578947368421,0.09166133
873.6842105263158,0.7736842105263158,0.0912324
873.6842105263158,0.8157894736842105,0.09074548
873.6842105263158,0.8578947368421053,0.0904154
873.6842105263158,0.9,0.0902683
1131.578947368421,0.1,0.121600464
1131.578947368421,0.14210526315789473,0.11826182
1131.578947368421,0.1842105263157895,0.11814238
1131.578947368421,0.22631578947368422,0.11352574
1131.578947368421,0.26842105263157895,0.112333596
1131.578947368421,0.31052631578947365,0.111877404
1131.578947368421,0.3526315789473684,0.09830119
1131.578947368421,0.39473684210526316,0.094749115
1131.578947368421,0.4368421052631579,0.0879501
1131.578947368421,0.4789473684210527,0.10908278
